img_path,tags
000effcf2091ae3895074838b7e5f571186ab362.jpg,"20多岁,一个人,不看镜头,东亚,东方人,亚洲,亚洲人,亚洲人和印度人,人,仅成年人,休闲活动,休闲装,女性,幸福,彩色图片,微笑,成年人,户外,拿着,摄影,放松,水平画幅,爱,生活方式,男人,男性,白昼,衣服,青年人"
0014455e5fbfd0961039fe23675debbb1a7b2308.jpg,"20多岁,一个人,东亚,东方人,中国人,亚洲,亚洲人,亚洲人和印度人,人,仅一个女人,仅一个青年女人,仅女人,仅成年人,全身像,垂直画幅,女人,女性,幸福,彩色图片,影棚拍摄,成年人,拿着,摄影,放松,时尚,白色,白色背景,美女,背景分离,青年人"
002138959ee7a14eb2860100392a384f8a85425f.jpg,"垂直画幅,彩色图片,影棚拍摄,摄影,无人,白色背景"
002414411ce17c6c7ab5d36dd3f956d0691ba495.jpg,"东亚,云,人,休闲活动,全身像,地形,天空,度假,彩色图片,户外,摄影,放松,旅游目的地,旅行,树,水平画幅,白昼,绿色,自然,自然美,自由,草"
002780359fda7f09e6d1fc52d88aff90c6e8298b.jpg,"建筑结构,彩色图片,户外,摄影,放松,无人,树,水,水平画幅,白昼,自然现象,赚钱"
002ad24891ddf815bb86e4eca34415b1b44c9e4b.jpg,"全身像,垂直画幅,彩色图片,影棚拍摄,成年人,插图画法,放松,白色,白色背景,符号,背景分离"
002c284f94299bcee51733f7d6b17f3e4792d8c5.jpg,"健康食物,切片食物,垂直画幅,彩色图片,摄影,无人,柠檬,特写,食品,餐具,饮食"
002cf4b15887f32b688113a2a7a3f5786896d019.jpg,"中国,云,亚洲,人,人间天堂,休闲活动,偏远的,健康生活方式,剪影,反射,地平线,地形,天空,天际线,太阳,宁静,度假,彩色图片,成年人,户外,摄影,放松,旅游,旅游目的地,旅行,日光,日出,日落,日落时分,橙色,气候,水,水平画幅,水面,河岸,河流,流水,海景,海洋,海滩,湖,自然,自然现象,自然美,自由,都市风景,镜头眩光,陆地,非凡的,风景,黄昏"
003d4c12160b90fbbb2bd034ee30c251a45d9037.jpg,"传统文化,健康食物,垂直画幅,多样,室内,庆祝,彩色图片,影棚拍摄,摄影,文化,无人,柠檬,生食,盘子,碗,美味,银餐具,静物,食品,餐具,饮食"
0043ab4460cc79bfbea3db69d2a55d5f35600a37.jpg,"东亚,中国,亚洲,发光,城市生活,夜晚,彩色图片,摄影,无人,日光,水平画幅,照亮"
005a5e2d1eec0c339e05200e30859d8c265a1c76.jpg,"云,塔,建筑,建筑外部,彩色图片,无人,环境问题,留白,白色背景,窗户"
005c29f2bf08722f3216b72add585215e3fd4b5e.jpg,"中国,云,反射,垂直画幅,天空,彩色图片,旅游目的地,旅行,无人,日落,白色"
00621b593f90dfa8cbe200fcf30b33e77c75f9a5.jpg,"健康食物,室内,彩色图片,影棚拍摄,摄影,无人,白色背景,食品,餐具,饮食,高视角"
006280b99f7a9808f9ef480869f6de0b5159fc28.jpg,"健康食物,叶子,垂直画幅,彩色图片,影棚拍摄,摄影,无人,清新,白色,白色背景,绿色,背景分离,茎,饮食"
00629567c42f63f612f2b12af9a5c7d5ca09c286.jpg,"东亚,中国,云,云景,亚洲,人间天堂,偏远的,剪影,反射,古代,地平面,地形,地貌,夏天,天空,太阳,宁静,寂寞,山,山脉,度假,彩色图片,户外,摄影,放松,旅游,旅游目的地,旅行,旅途,无人,日光,日出,日落,曙暮光,极端地形,水,水平画幅,水面,流水,海南岛,海洋,渔夫,湖,热带气候,牧场,白昼,自然,自然地理,自然美,西藏,西藏自治区,试水,逆光,镜头眩光,雪山,非都市风光,风景"
0078e5c81fe9977cafd7d829ed8502303034687e.jpg,"一个人,中国,人,仅成年人,休闲活动,全身像,剪影,反射,太阳,幸福,度假,彩色图片,成年人,户外,拿着,摄影,旅游目的地,旅行,日落,水,水平画幅,沙子,海洋,海滩,爱,相伴,站,背面视角,自然,跑,风景"
007dfb6c7f45a15f79ac0faf51a775f281010bdf.jpg,"互联网,仅一个中年男人,仅男人,公司企业,办公室,商务,垂直画幅,室内,建筑,建筑结构,彩色图片,技术,摄影,无人,无线电技术,沟通,联系,顺序,首都"
008215bf3ebd0763d820265f003b4d96927dcb31.jpg,"健康食物,圆形,垂直画幅,彩色图片,影棚拍摄,成功,技术,数字,无人,白色,白色背景,矢量图,符号,绘画插图,银行业"
0084153e88f521ebadfa661edd12ce325b90eb53.jpg,"东亚,中国,丰富,云,亚洲,交通,反射,发展,城市,城市生活,天空,天际线,市区,度假,建筑,建筑外部,彩色图片,户外,摄影,摩天大楼,旅游,旅游目的地,旅行,无人,水,白昼,繁荣,航拍视角,运输,都市风光,都市风景"
009c51720c9c75dff5311d4f3baaf8cc88d3dcd7.jpg,"云,人,反射,垂直画幅,彩色图片,户外,拿着,摄影,旅游目的地,白昼,航拍视角"
009fa1983cb593164d3ef773f29a2a81ae1a8e96.jpg,"20多岁,一个人,东方人,享乐,人,仅成年人,休闲活动,休闲装,健康,坐,垂直画幅,女人,室内,家庭,幸福,彩色图片,成年人,拿着,挨着,摄影,支撑,放松,日本人,母亲,父亲,独生子女家庭,生活方式,男性,白昼,白色背景,纯洁,衣服,青年人"
00a43bd681cd448386d8edfe83377d3efad8156f.jpg,"人,全身像,卡通,商务,噪声,圆形,垂直画幅,多色的,彩色图片,抽象,插图画法,符号,红色,绘画插图,蓝色,计算机制图,钟,黄色"
